Datetime,Open,High,Low,Close,Adj Close,Volume
2023-08-21 00:00:00-04:00,103.38800048828125,103.40499877929688,103.35900115966797,103.3740005493164,103.3740005493164,0
2023-08-21 01:00:00-04:00,103.375,103.40699768066406,103.3280029296875,103.38300323486328,103.38300323486328,0
2023-08-21 02:00:00-04:00,103.38300323486328,103.44400024414062,103.37300109863281,103.41500091552734,103.41500091552734,0
2023-08-21 03:00:00-04:00,103.41600036621094,103.44000244140625,103.30400085449219,103.31999969482422,103.31999969482422,0
2023-08-21 04:00:00-04:00,103.31999969482422,103.39900207519531,103.31900024414062,103.37200164794922,103.37200164794922,0
2023-08-21 05:00:00-04:00,103.37100219726562,103.37100219726562,103.23100280761719,103.25399780273438,103.25399780273438,0
2023-08-21 06:00:00-04:00,103.25299835205078,103.35399627685547,103.23699951171875,103.28800201416016,103.28800201416016,0
2023-08-21 07:00:00-04:00,103.29000091552734,103.29499816894531,103.13899993896484,103.17900085449219,103.17900085449219,0
2023-08-21 08:00:00-04:00,103.17900085449219,103.31500244140625,103.1500015258789,103.2770004272461,103.2770004272461,0
2023-08-21 09:00:00-04:00,103.27799987792969,103.44000244140625,103.26100158691406,103.38700103759766,103.38700103759766,0
2023-08-21 10:00:00-04:00,103.38700103759766,103.50199890136719,103.36000061035156,103.42900085449219,103.42900085449219,0
2023-08-21 11:00:00-04:00,103.42900085449219,103.47599792480469,103.38899993896484,103.42900085449219,103.42900085449219,0
2023-08-21 12:00:00-04:00,103.42900085449219,103.43099975585938,103.28600311279297,103.30500030517578,103.30500030517578,0
2023-08-21 13:00:00-04:00,103.30500030517578,103.33699798583984,103.27999877929688,103.31999969482422,103.31999969482422,0
2023-08-21 14:00:00-04:00,103.31900024414062,103.32599639892578,103.28299713134766,103.30000305175781,103.30000305175781,0
2023-08-21 15:00:00-04:00,103.30000305175781,103.34200286865234,103.27400207519531,103.3290023803711,103.3290023803711,0
2023-08-21 16:00:00-04:00,103.3290023803711,103.35600280761719,103.3270034790039,103.33499908447266,103.33499908447266,0
2023-08-21 17:00:00-04:00,103.33499908447266,103.3499984741211,103.3239974975586,103.33100128173828,103.33100128173828,0
2023-08-21 18:00:00-04:00,103.33100128173828,103.33200073242188,103.322998046875,103.3239974975586,103.3239974975586,0
